Bandit,Reward,Algorithm
Bandit-4,True,Thompson Sampling
Bandit-4,False,Thompson Sampling
Bandit-4,True,Thompson Sampling
Bandit-4,True,Thompson Sampling
Bandit-4,True,Thompson Sampling
Bandit-4,True,Thompson Sampling
Bandit-4,True,Thompson Sampling
Bandit-4,False,Thompson Sampling
Bandit-4,False,Thompson Sampling
Bandit-4,False,Thompson Sampling
Bandit-4,False,Thompson Sampling
Bandit-4,False,Thompson Sampling
Bandit-4,True,Thompson Sampling
Bandit-4,True,Thompson Sampling
Bandit-4,False,Thompson Sampling
Bandit-4,False,Thompson Sampling
Bandit-4,False,Thompson Sampling
Bandit-4,True,Thompson Sampling
Bandit-4,True,Thompson Sampling
Bandit-4,False,Thompson Sampling
Bandit-4,False,Thompson Sampling
Bandit-4,True,Thompson Sampling
Bandit-4,False,Thompson Sampling
Bandit-4,True,Thompson Sampling
Bandit-4,True,Thompson Sampling
Bandit-4,True,Thompson Sampling
Bandit-4,False,Thompson Sampling
Bandit-4,False,Thompson Sampling
Bandit-4,True,Thompson Sampling
Bandit-4,False,Thompson Sampling
Bandit-4,True,Thompson Sampling
Bandit-4,False,Thompson Sampling
